0000001 0000001
0000000 0000001
0000001 0000000
0000000 0000000
0000000 0000010
1111111 0000001
1111111 0000000
0000000 1111111
0000001 0000010
0000010 0000001
0000010 0000000
0000001 1111111
0000011 0000000
0000010 1111111
0000000 1111110
1111111 1111111
0000001 0000011
0000010 0000010
1111111 0000010
1111110 0000001
0000011 0000001
0000100 0000000
0000011 1111111
0000001 1111110
0000000 1111101
1111111 1111110
0000001 0000100
0000010 0000011
0000000 0000011
1111110 0000010
1111110 0000000
1111101 0000001
0000100 0000001
0000101 0000000
0000100 1111111
0000001 1111101
0000000 1111100
1111111 1111101
1111101 0000010
1111101 0000000
1111100 0000001
1111100 0000010
1111100 0000000
1111011 0000001
1111100 1111111
1111011 0000000
1111110 1111111
1111111 1111100
1111110 1111101
1111011 1111111
1111010 0000000
1111011 1111110
1111010 1111111
0000011 1111110
0000100 1111110
0000011 1111101
0000010 1111110
1111010 1111110
1111001 1111111
1111001 0000000
1111001 1111110
1111000 1111111
0000101 0000001
0000110 0000000
0000101 1111111
0000010 1111101
0000100 0000010
0000001 1111100
1111001 0000001
1111000 0000000
1111100 0000011
1111011 0000010
1111000 1111110
1110111 1111111
1110111 0000000
1110111 1111110
1110110 1111111
1111101 0000011
0000001 0000101
0000010 0000100
0000000 0000100
1111110 0000011
1111001 0000010
1111000 0000001
1111010 0000001
0000100 0000011
0000101 0000010
0000011 0000010
0000100 0000100
0000101 0000011
0000011 0000011
1111110 1111110
1111101 1111111
0000100 0000101
0000101 0000100
0000011 0000100
